iterations,fitness,time,fevals
0,21.0,0.000525768999999,429
10,26.0,0.000935995999999,763
20,23.0,0.001312015,1106
30,23.0,0.001643715,1430
40,24.0,0.00197328,1770
50,25.0,0.002312316,2100
60,25.0,0.00264197,2424
70,25.0,0.002971938,2764
80,25.0,0.003312066,3096
90,25.0,0.003634612,3441
100,25.0,0.003938531,3769
110,27.0,0.00424341,4094
120,27.0,0.004553984,4423
130,30.0,0.004871403,4753
140,29.0,0.005200117,5088
150,30.0,0.005525098,5426
160,29.0,0.005846114,5762
170,30.0,0.006168095,6109
180,30.0,0.006466645,6443
190,30.0,0.006772178,6783
200,30.0,0.007071409,7122
210,30.0,0.007376394,7458
220,31.0,0.007669436,7778
230,32.0,0.007969248,8109
240,32.0,0.008281949,8440
250,32.0,0.008610783,8772
260,32.0,0.009017564,9113
270,32.0,0.009399561,9447
280,33.0,0.009732196,9786
290,32.0,0.010076437,10123
300,32.0,0.010414719,10456
310,34.0,0.010760578,10796
320,35.0,0.011104147,11127
330,35.0,0.011437386,11463
340,34.0,0.011767626,11798
350,34.0,0.012097476,12129
360,34.0,0.012434019,12468
370,34.0,0.012768368,12798
380,35.0,0.01310117,13129
390,35.0,0.0135014,13476
400,35.0,0.01381276,13812
410,35.0,0.014128788,14142
420,35.0,0.014455739,14478
430,35.0,0.01479585,14819
440,37.0,0.015238122,15150
450,37.0,0.015609835,15483
460,35.0,0.015962244,15808
470,36.0,0.016377516,16137
480,36.0,0.017231744,16465
490,38.0,0.017552834,16792
500,38.0,0.017861355,17128
510,37.0,0.018163408,17458
520,39.0,0.018461674,17786
530,40.0,0.018748876,18109
540,40.0,0.019047066,18454
550,41.0,0.019354351,18797
560,39.0,0.019654182,19125
570,40.0,0.019953465,19452
580,40.0,0.02026619,19794
590,42.0,0.020570966,20115
600,43.0,0.0208754,20448
610,43.0,0.021185443,20780
620,42.0,0.021495183,21119
630,43.0,0.021793691,21453
640,43.0,0.022097145,21791
650,43.0,0.022403229,22129
660,43.0,0.022703492,22463
670,44.0,0.023015103,22804
680,43.0,0.023316891,23127
690,45.0,0.02362548,23465
700,43.0,0.023938891,23811
710,45.0,0.024304666,24134
720,44.0,0.024609217,24477
730,45.0,0.024905955,24801
740,45.0,0.025208138,25132
750,45.0,0.025516342,25447
760,45.0,0.025826375,25777
770,45.0,0.026135701,26106
780,45.0,0.026433696,26453
790,45.0,0.026745332,26793
800,49.0,0.027050937,27138
810,49.0,0.027349327,27482
820,49.0,0.027650072,27814
830,50.0,0.027949258,28148
840,50.0,0.02824109,28477
850,49.0,0.028532848,28808
860,49.0,0.028830954,29146
870,49.0,0.029126161,29477
880,50.0,0.029417381,29811
890,51.0,0.029714567,30160
900,50.0,0.030008605,30497
910,50.0,0.03031467,30835
920,50.0,0.030707351,31164
930,50.0,0.031054934,31494
940,50.0,0.031408179,31829
950,50.0,0.031771442,32162
960,50.0,0.032077575,32491
970,50.0,0.032379086,32830
980,50.0,0.032675162,33165
990,50.0,0.032978524,33512
1000,51.0,0.033284292,33851
1010,50.0,0.033595997,34185
1020,50.0,0.033938273,34515
1030,51.0,0.03423835,34839
1040,52.0,0.034537973,35177
1050,52.0,0.034837658,35512
1060,52.0,0.035134114,35847
1070,53.0,0.035425226,36177
1080,55.0,0.035712288,36494
1090,55.0,0.035999622,36829
1100,56.0,0.036283628,37155
1110,56.0,0.036659895,37491
1120,57.0,0.036987608,37834
1130,57.0,0.037391955,38162
1140,57.0,0.037718092,38494
1150,56.0,0.038049705,38829
1160,56.0,0.03836763,39170
1170,55.0,0.03870436,39511
1180,55.0,0.039034341,39832
1190,56.0,0.039396225,40157
1200,56.0,0.039705286,40493
1210,55.0,0.040001006,40825
1220,56.0,0.040288482,41163
1230,56.0,0.0405771,41496
1240,56.0,0.040866845,41833
1250,56.0,0.04115349,42168
1260,56.0,0.04151467,42494
1270,56.0,0.04186276,42830
1280,56.0,0.042168532,43161
1290,56.0,0.042477396,43492
1300,56.0,0.042772861,43835
1310,56.0,0.04306119,44163
1320,56.0,0.043865069,44494
1330,55.0,0.044182196,44840
1340,55.0,0.044478241,45183
1350,56.0,0.044770809,45514
1360,55.0,0.045064848,45848
1370,55.0,0.04536082,46184
1380,55.0,0.045648485,46509
1390,57.0,0.045933995,46836
1400,58.0,0.046217746,47153
1410,57.0,0.046509353,47496
1420,57.0,0.046850189,47829
1430,57.0,0.047137287,48166
1440,57.0,0.047421501,48504
1450,58.0,0.047716731,48838
1460,57.0,0.048001854,49176
1470,57.0,0.048289835,49514
1480,62.0,0.048626638,49850
1490,62.0,0.048936351,50187
1500,64.0,0.049235285,50515
1510,65.0,0.049556169,50856
1520,65.0,0.04985376,51183
1530,65.0,0.050146822,51525
1540,64.0,0.05045274,51867
1550,64.0,0.050742829,52196
1560,64.0,0.051023763,52531
1570,63.0,0.051310616,52872
1580,63.0,0.051593515,53212
1590,63.0,0.051875037,53557
1600,63.0,0.052151199,53892
1610,64.0,0.052418869,54226
1620,64.0,0.052689864,54558
1630,64.0,0.052961919,54891
1640,64.0,0.053235831,55223
1650,63.0,0.053517421,55553
1660,64.0,0.053789239,55887
1670,64.0,0.054089389,56224
1680,64.0,0.054362398,56552
1690,64.0,0.05464327,56877
1700,64.0,0.054925622,57205
1710,64.0,0.055198316,57522
1720,65.0,0.055482325,57854
1730,66.0,0.055757912,58184
1740,66.0,0.056038008,58517
1750,67.0,0.05631303,58848
1760,66.0,0.05659473,59191
1770,66.0,0.056876026,59524
1780,66.0,0.057156272,59861
1790,66.0,0.057433665,60205
1800,66.0,0.057714885,60537
1810,63.0,0.057998669,60866
1820,63.0,0.058281891,61198
1830,63.0,0.058557214,61530
1840,63.0,0.058847075,61872
1850,63.0,0.059130445,62209
1860,64.0,0.059406286,62537
1870,64.0,0.059685659,62870
1880,64.0,0.059967864,63205
1890,64.0,0.060242616,63549
1900,64.0,0.060561589,63882
1910,64.0,0.060880736,64211
1920,63.0,0.061194652,64537
1930,63.0,0.061550625,64864
1940,63.0,0.061839861,65193
1950,63.0,0.062128646,65526
1960,63.0,0.06242821,65864
1970,63.0,0.062728092,66202
1980,64.0,0.063021406,66531
1990,64.0,0.06329903,66859
2000,63.0,0.063570214,67188
2010,63.0,0.063849583,67525
2020,67.0,0.064128033,67858
2030,66.0,0.064414167,68188
2040,65.0,0.064695786,68527
2050,64.0,0.064979165,68865
2060,64.0,0.065259488,69198
2070,68.0,0.065543871,69530
2080,68.0,0.06582905,69869
2090,68.0,0.066115628,70205
2100,70.0,0.066395984,70530
2110,64.0,0.0666794,70866
2120,69.0,0.066958665,71202
