iterations,fitness,time,fevals
0,25.0,0.089296511,1000
10,29.0,0.166124881,2100
20,33.0,0.231674423,3200
30,35.0,0.297804591,4300
40,35.0,0.355675078,5400
50,35.0,0.412711129,6500
60,38.0,0.471274675,7600
70,38.0,0.528132972,8700
80,37.0,0.583925958,9800
90,35.0,0.639285993,10900
100,36.0,0.693493924,12000
110,35.0,0.748184049,13100
120,37.0,0.802280835,14200
130,38.0,0.867505925,15300
140,38.0,0.922137278,16400
150,38.0,0.976476422,17500
160,42.0,1.035727777,18600
170,38.0,1.092370783,19700
180,41.0,1.14382533,20800
190,37.0,1.199956321,21900
200,36.0,1.251289864,23000
210,41.0,1.307502907,24100
220,49.0,1.365167911,25200
230,40.0,1.421820035,26300
240,40.0,1.472398579,27400
250,37.0,1.523654209,28500
260,37.0,1.57511437,29600
270,41.0,1.625646958,30700
280,36.0,1.679864096,31800
290,40.0,1.731017319,32900
300,42.0,1.78945754,34000
310,41.0,1.843612924,35100
320,42.0,1.899865763,36200
330,44.0,1.953663517,37300
340,47.0,2.009597141,38400
350,41.0,2.065464909,39500
360,41.0,2.120519888,40600
370,42.0,2.173706088,41700
380,41.0,2.2263963,42800
390,46.0,2.281101783,43900
400,48.0,2.338882864,45000
410,46.0,2.389614855,46100
420,44.0,2.44406448,47200
430,43.0,2.496934255,48300
440,44.0,2.549767854,49400
450,41.0,2.60460376,50500
460,41.0,2.658273272,51600
470,41.0,2.711838096,52700
480,41.0,2.778813598,53800
490,45.0,2.837077142,54900
500,44.0,2.896449104,56000
510,41.0,2.949785777,57100
520,45.0,3.006047462,58200
530,44.0,3.061356925,59300
540,46.0,3.119627129,60400
550,42.0,3.176241354,61500
560,45.0,3.233784207,62600
570,46.0,3.289422206,63700
580,51.0,3.348727396,64800
590,45.0,3.403939772,65900
600,41.0,3.462058504,67000
610,46.0,3.515124749,68100
620,42.0,3.572365327,69200
630,46.0,3.630512535,70300
640,41.0,3.683831886,71400
650,46.0,3.738317728,72500
660,49.0,3.7953943,73600
670,44.0,3.849706835,74700
680,47.0,3.903875983,75800
690,45.0,3.959444965,76900
700,37.0,4.01317359,78000
710,38.0,4.067484092,79100
720,40.0,4.122195899,80200
730,39.0,4.174308247,81300
740,40.0,4.227831929,82400
750,46.0,4.282004974,83500
760,46.0,4.33791459,84600
770,45.0,4.389564602,85700
780,46.0,4.443650113,86800
790,46.0,4.498150641,87900
800,49.0,4.553347896,89000
810,47.0,4.60448052,90100
820,46.0,4.653436094,91200
830,49.0,4.70524562,92300
840,49.0,4.757484959,93400
850,49.0,4.807201284,94500
860,47.0,4.85724908,95600
870,46.0,4.91078954,96700
880,46.0,4.961626606,97800
890,46.0,5.011908916,98900
900,46.0,5.061538205,100000
910,49.0,5.1116429,101100
920,49.0,5.161746761,102200
930,47.0,5.212809547,103300
940,47.0,5.25887482,104400
950,49.0,5.308571108,105500
960,47.0,5.360577512,106600
970,49.0,5.4109407,107700
980,49.0,5.463625629,108800
990,50.0,5.516973783,109900
1000,47.0,5.566763869,111000
1010,49.0,5.61942034,112100
1020,50.0,5.672435634,113200
1030,46.0,5.722773301,114300
1040,47.0,5.774431257,115400
1050,50.0,5.827925951,116500
1060,49.0,5.878819432,117600
1070,50.0,5.927127329,118700
1080,46.0,5.980095158,119800
1090,49.0,6.030692738,120900
1100,49.0,6.080058722,122000
1110,50.0,6.130218368,123100
1120,50.0,6.179992315,124200
1130,51.0,6.233690883,125300
1140,51.0,6.287271229,126400
1150,51.0,6.338787191,127500
1160,50.0,6.393884164,128600
1170,51.0,6.444880178,129700
1180,51.0,6.495226593,130800
1190,49.0,6.543249924,131900
1200,51.0,6.593589954,133000
1210,50.0,6.641821205,134100
1220,50.0,6.691407476,135200
1230,54.0,6.743775744,136300
1240,54.0,6.797438982,137400
1250,56.0,6.848805927,138500
1260,54.0,6.903701631,139600
1270,54.0,6.954540528,140700
1280,56.0,7.00715775,141800
1290,57.0,7.061608844,142900
1300,56.0,7.113831317,144000
1310,54.0,7.165626185,145100
1320,56.0,7.216191267,146200
1330,56.0,7.265705309,147300
1340,56.0,7.312855495,148400
1350,56.0,7.366474963,149500
1360,54.0,7.418067504,150600
1370,54.0,7.469211317,151700
1380,54.0,7.516899028,152800
1390,56.0,7.563835526,153900
1400,54.0,7.61302526,155000
1410,53.0,7.663373812,156100
1420,56.0,7.716680197,157200
1430,57.0,7.764227088,158300
1440,55.0,7.81194848,159400
1450,60.0,7.862694731,160500
1460,55.0,7.913535667,161600
1470,56.0,7.963840728,162700
1480,58.0,8.014321131,163800
1490,57.0,8.061817899,164900
1500,57.0,8.114694829,166000
1510,53.0,8.164550152,167100
1520,57.0,8.211841296,168200
1530,53.0,8.264642387,169300
1540,57.0,8.32128473,170400
1550,54.0,8.373886642,171500
1560,54.0,8.423066668,172600
1570,53.0,8.471080575,173700
1580,57.0,8.51827904,174800
1590,53.0,8.569361803,175900
1600,60.0,8.618409067,177000
1610,57.0,8.668297158,178100
1620,53.0,8.717483343,179200
1630,54.0,8.765830956,180300
1640,57.0,8.814320557,181400
1650,60.0,8.868232845,182500
1660,57.0,8.920416526,183600
1670,54.0,8.974174308,184700
1680,57.0,9.026060593,185800
1690,54.0,9.076084169,186900
1700,53.0,9.128270688,188000
1710,53.0,9.174785276,189100
1720,56.0,9.222195306,190200
1730,57.0,9.272722562,191300
1740,57.0,9.32422684,192400
1750,53.0,9.373522496,193500
1760,53.0,9.423836591,194600
1770,53.0,9.473809312,195700
1780,57.0,9.523633676,196800
1790,57.0,9.57140928,197900
1800,54.0,9.619531181,199000
1810,57.0,9.669819625,200100
1820,53.0,9.722603968,201200
1830,53.0,9.771967046,202300
1840,57.0,9.82353232,203400
1850,53.0,9.870361462,204500
1860,54.0,9.921409344,205600
1870,53.0,9.972397301,206700
1880,57.0,10.019236781,207800
1890,53.0,10.072292852,208900
1900,53.0,10.123833557,210000
1910,53.0,10.176335688,211100
1920,54.0,10.22251659,212200
1930,54.0,10.272861466,213300
1940,53.0,10.32825649,214400
1950,62.0,10.381007617,215500
1960,53.0,10.431198967,216600
1970,54.0,10.480702444,217700
1980,57.0,10.531507954,218800
1990,53.0,10.582316825,219900
2000,54.0,10.631468789,221000
2010,57.0,10.681286196,222100
2020,56.0,10.730314031,223200
2030,53.0,10.779642554,224300
2040,57.0,10.828193272,225400
2050,54.0,10.879783247,226500
2060,53.0,10.926646316,227600
2070,57.0,10.975520523,228700
2080,57.0,11.024746819,229800
2090,53.0,11.072998451,230900
2100,57.0,11.121383103,232000
2110,56.0,11.174085899,233100
2120,53.0,11.225660613,234200
2130,53.0,11.276126746,235300
2140,57.0,11.324276312,236400
2150,53.0,11.374540953,237500
2160,53.0,11.422875507,238600
2170,57.0,11.473611145,239700
2180,53.0,11.528032914,240800
2190,57.0,11.575688967,241900
2200,57.0,11.629143298,243000
2210,53.0,11.681097645,244100
2220,57.0,11.728574454,245200
2230,53.0,11.777419532,246300
2240,53.0,11.827586555,247400
2250,53.0,11.881046814,248500
2260,53.0,11.928917949,249600
2270,54.0,11.976400656,250700
2280,53.0,12.025255462,251800
2290,54.0,12.073926199,252900
2300,55.0,12.124068901,254000
2310,56.0,12.172481231,255100
2320,53.0,12.2250727,256200
2330,53.0,12.274079701,257300
2340,57.0,12.322820527,258400
2350,54.0,12.36974384,259500
2360,53.0,12.420021387,260600
2370,57.0,12.470164942,261700
2380,59.0,12.520677972,262800
2390,57.0,12.568505148,263900
2400,54.0,12.619513551,265000
2410,57.0,12.670334901,266100
2420,57.0,12.720042523,267200
2430,57.0,12.771020489,268300
2440,53.0,12.821681512,269400
2450,57.0,12.872663954,270500
2460,54.0,12.919684571,271600
2470,57.0,12.972575001,272700
2480,57.0,13.028733933,273800
2490,53.0,13.077838887,274900
2500,54.0,13.127335141,276000
2510,57.0,13.176789505,277100
2520,57.0,13.22622513,278200
2530,54.0,13.274988333,279300
2540,54.0,13.325058693,280400
2550,54.0,13.376174881,281500
2560,60.0,13.428985553,282600
2570,57.0,13.477959271,283700
2580,53.0,13.528086221,284800
2590,60.0,13.58067211,285900
2600,53.0,13.628902784,287000
2610,57.0,13.67951268,288100
2620,57.0,13.729901542,289200
2630,53.0,13.77979415,290300
2640,55.0,13.829936995,291400
2650,54.0,13.879070115,292500
2660,57.0,13.926553176,293600
2670,54.0,13.97644786,294700
2680,54.0,14.02675831,295800
2690,57.0,14.075986527,296900
2700,57.0,14.124480482,298000
2710,57.0,14.171544156,299100
2720,57.0,14.217545943,300200
2730,57.0,14.271573232,301300
2740,59.0,14.323422214,302400
2750,53.0,14.373418338,303500
2760,53.0,14.421324337,304600
2770,53.0,14.470537037,305700
2780,53.0,14.522217746,306800
2790,54.0,14.570687266,307900
2800,57.0,14.62568137,309000
2810,53.0,14.677026617,310100
2820,53.0,14.728095847,311200
2830,61.0,14.778875246,312300
2840,55.0,14.830168088,313400
2850,54.0,14.879038412,314500
2860,53.0,14.927344667,315600
2870,60.0,14.977607606,316700
2880,53.0,15.032008944,317800
2890,54.0,15.080217744,318900
2900,54.0,15.130841108,320000
2910,57.0,15.184550846,321100
2920,57.0,15.232903894,322200
2930,57.0,15.283118305,323300
2940,54.0,15.33295381,324400
2950,53.0,15.382156515,325500
2960,54.0,15.431654181,326600
2970,57.0,15.483965689,327700
2980,54.0,15.536570227,328800
2990,54.0,15.587130769,329900
3000,57.0,15.640730494,331000
3010,62.0,15.692360157,332100
3020,62.0,15.746052352,333200
3030,62.0,15.797857332,334300
3040,61.0,15.849622588,335400
3050,63.0,15.901119732,336500
3060,61.0,15.95285036,337600
3070,60.0,16.001406899,338700
3080,61.0,16.046930138,339800
3090,61.0,16.09891376,340900
3100,61.0,16.148897037,342000
3110,61.0,16.197548565,343100
3120,60.0,16.248210137,344200
3130,60.0,16.302841636,345300
3140,61.0,16.352462499,346400
3150,60.0,16.401672391,347500
3160,61.0,16.451494871,348600
3170,61.0,16.498821095,349700
3180,60.0,16.547485797,350800
3190,61.0,16.595638285,351900
3200,61.0,16.650155428,353000
3210,60.0,16.715888055,354100
3220,60.0,16.774603559,355200
3230,61.0,16.835328478,356300
3240,61.0,16.885524207,357400
3250,61.0,16.933218922,358500
3260,60.0,16.979966347,359600
3270,60.0,17.028023546,360700
3280,61.0,17.076337151,361800
3290,61.0,17.126458986,362900
3300,61.0,17.172447016,364000
3310,60.0,17.223336952,365100
3320,61.0,17.273764691,366200
3330,61.0,17.32578676,367300
3340,60.0,17.379131255,368400
3350,61.0,17.427645437,369500
3360,61.0,17.4741344,370600
3370,61.0,17.522816069,371700
3380,61.0,17.573532375,372800
3390,61.0,17.620367539,373900
3400,61.0,17.671760968,375000
3410,61.0,17.718498177,376100
3420,61.0,17.767522109,377200
3430,61.0,17.818122411,378300
3440,61.0,17.871626557,379400
3450,62.0,17.918269588,380500
3460,60.0,17.96633208,381600
3470,60.0,18.014550413,382700
3480,61.0,18.062842969,383800
3490,61.0,18.112961945,384900
3500,61.0,18.161709175,386000
3510,62.0,18.212564786,387100
3520,61.0,18.262992672,388200
3530,67.0,18.311797078,389300
3540,60.0,18.3619801,390400
3550,60.0,18.412016231,391500
3560,61.0,18.461547763,392600
3570,61.0,18.507822551,393700
3580,61.0,18.554116243,394800
3590,60.0,18.605041923,395900
3600,61.0,18.653624356,397000
3610,61.0,18.703882845,398100
3620,61.0,18.752232228,399200
3630,66.0,18.802398042,400300
3640,61.0,18.852861222,401400
3650,61.0,18.902952431,402500
3660,61.0,18.950198789,403600
3670,62.0,19.000973494,404700
3680,61.0,19.049716728,405800
3690,61.0,19.097718726,406900
3700,62.0,19.147782298,408000
3710,68.0,19.194226451,409100
3720,61.0,19.246410375,410200
3730,62.0,19.297640036,411300
3740,62.0,19.34577635,412400
3750,65.0,19.399002976,413500
3760,62.0,19.45062279,414600
3770,67.0,19.49931817,415700
3780,62.0,19.546976844,416800
3790,61.0,19.596985004,417900
3800,66.0,19.645107663,419000
3810,62.0,19.692562095,420100
3820,62.0,19.742489005,421200
3830,62.0,19.790862059,422300
3840,62.0,19.840818464,423400
3850,66.0,19.891000826,424500
3860,66.0,19.940931725,425600
3870,65.0,19.994273074,426700
3880,62.0,20.046059435,427800
3890,62.0,20.096425023,428900
3900,63.0,20.147230946,430000
3910,62.0,20.196126281,431100
3920,64.0,20.25029195,432200
3930,62.0,20.300340033,433300
3940,66.0,20.356579295,434400
3950,62.0,20.408078338,435500
3960,62.0,20.455536911,436600
3970,62.0,20.508489881,437700
3980,62.0,20.561104108,438800
3990,62.0,20.607363176,439900
4000,66.0,20.656905154,441000
4010,62.0,20.705536826,442100
4020,66.0,20.755800222,443200
4030,62.0,20.806046529,444300
4040,62.0,20.857999596,445400
4050,62.0,20.909054491,446500
4060,62.0,20.955727218,447600
4070,63.0,21.003176808,448700
4080,66.0,21.05339861,449800
4090,62.0,21.101535894,450900
4100,66.0,21.149195493,452000
4110,62.0,21.200507808,453100
4120,67.0,21.249700752,454200
4130,62.0,21.301892783,455300
4140,62.0,21.352612975,456400
4150,62.0,21.400956643,457500
4160,63.0,21.450786476,458600
4170,62.0,21.501572778,459700
4180,66.0,21.554377385,460800
4190,64.0,21.602518547,461900
4200,65.0,21.650931188,463000
4210,62.0,21.697996206,464100
4220,66.0,21.744943474,465200
4230,62.0,21.793345905,466300
4240,62.0,21.844274501,467400
4250,62.0,21.894376468,468500
4260,62.0,21.945140184,469600
4270,67.0,21.997064186,470700
4280,62.0,22.04770128,471800
4290,62.0,22.101009308,472900
4300,62.0,22.148257138,474000
4310,66.0,22.200667751,475100
4320,62.0,22.248828866,476200
4330,62.0,22.299405136,477300
4340,61.0,22.348437809,478400
4350,63.0,22.399969162,479500
4360,62.0,22.448699936,480600
4370,62.0,22.496388237,481700
4380,62.0,22.546507478,482800
4390,62.0,22.59734479,483900
4400,62.0,22.645502212,485000
4410,63.0,22.694915085,486100
4420,67.0,22.747816761,487200
4430,66.0,22.797362586,488300
4440,62.0,22.846406821,489400
4450,66.0,22.900999346,490500
4460,66.0,22.947817654,491600
4470,66.0,22.998462978,492700
4480,62.0,23.047802592,493800
4490,66.0,23.09857448,494900
4500,62.0,23.14881967,496000
4510,66.0,23.200342397,497100
4520,62.0,23.251872227,498200
4530,62.0,23.29938222,499300
4540,62.0,23.347774826,500400
4550,62.0,23.398386184,501500
4560,62.0,23.448476209,502600
4570,61.0,23.496294174,503700
4580,66.0,23.543447485,504800
4590,62.0,23.593105769,505900
4600,66.0,23.643947011,507000
4610,61.0,23.690434874,508100
4620,62.0,23.739656518,509200
4630,61.0,23.789445162,510300
4640,66.0,23.841154709,511400
4650,62.0,23.889597868,512500
4660,67.0,23.939432992,513600
4670,61.0,23.991369272,514700
4680,66.0,24.041939618,515800
4690,61.0,24.092315836,516900
4700,67.0,24.143497227,518000
4710,67.0,24.192645106,519100
4720,61.0,24.242948807,520200
4730,61.0,24.291965967,521300
4740,61.0,24.338793596,522400
4750,61.0,24.3875442,523500
4760,66.0,24.435495138,524600
4770,62.0,24.485963619,525700
4780,61.0,24.534709133,526800
4790,62.0,24.585702626,527900
4800,61.0,24.637075872,529000
4810,62.0,24.684333824,530100
4820,62.0,24.733389055,531200
4830,66.0,24.78139191,532300
4840,67.0,24.832262358,533400
4850,66.0,24.879697431,534500
4860,62.0,24.931759813,535600
4870,61.0,24.980906212,536700
4880,65.0,25.02840216,537800
4890,62.0,25.076068642,538900
4900,66.0,25.127494483,540000
4910,66.0,25.181160664,541100
4920,61.0,25.233297983,542200
4930,65.0,25.282995045,543300
4940,64.0,25.334640739,544400
4950,66.0,25.383660075,545500
4960,66.0,25.4315035,546600
4970,61.0,25.480107098,547700
4980,66.0,25.528215787,548800
4990,66.0,25.579230266,549900
5000,66.0,25.630375636,551000
