iterations,fitness,time,fevals
0,16.0,2.42789999999e-05,11
10,16.0,4.41449999998e-05,21
20,16.0,6.60109999998e-05,31
30,18.0,8.72789999998e-05,41
40,19.0,0.000109524,51
50,19.0,0.0001268,61
60,20.0,0.000148771,71
70,20.0,0.000184238,81
80,20.0,0.000204464,91
90,20.0,0.000240501,101
100,20.0,0.000261694,111
110,20.0,0.000282155,121
120,20.0,0.000303405,131
130,20.0,0.000325624,141
140,20.0,0.000344749,151
150,20.0,0.000363631,161
160,20.0,0.000384491,171
170,20.0,0.00040613,181
180,20.0,0.000427502,191
190,20.0,0.000447361,201
200,20.0,0.000466921,211
210,20.0,0.000486774,221
220,20.0,0.000911545,231
230,20.0,0.000938613,241
240,20.0,0.000954337,251
250,20.0,0.000973147,261
260,20.0,0.00100096,271
270,20.0,0.0010207,281
280,20.0,0.001037179,291
290,20.0,0.001056706,301
300,21.0,0.001072808,311
310,22.0,0.001093566,321
320,22.0,0.001123205,331
330,22.0,0.001140289,341
340,22.0,0.001159239,351
350,22.0,0.001175178,361
360,22.0,0.001194431,371
370,23.0,0.001209467,381
380,23.0,0.001234003,391
390,24.0,0.001256602,401
400,24.0,0.001275668,411
410,24.0,0.001313193,421
420,24.0,0.00132933,431
430,24.0,0.001354085,441
440,24.0,0.001376834,451
450,24.0,0.001401156,461
460,24.0,0.001422561,471
470,24.0,0.001438729,481
480,24.0,0.001474194,491
490,24.0,0.001490327,501
500,24.0,0.001526362,511
510,24.0,0.001546338,521
520,24.0,0.001562609,531
530,24.0,0.001580634,541
540,24.0,0.001595953,551
550,24.0,0.001617409,561
560,24.0,0.001634048,571
570,24.0,0.001654178,581
580,24.0,0.001708062,591
590,24.0,0.001729371,601
600,24.0,0.001748286,611
610,24.0,0.001764852,621
620,24.0,0.001780783,631
630,24.0,0.00179642,641
640,24.0,0.001811924,651
650,24.0,0.001826661,661
660,24.0,0.001844624,671
670,24.0,0.001863379,681
680,24.0,0.001879313,691
690,24.0,0.001895038,701
700,24.0,0.001910501,711
710,24.0,0.001930825,721
720,24.0,0.001949931,731
730,24.0,0.001972219,741
740,24.0,0.00199159,751
750,24.0,0.002011624,761
760,24.0,0.002030929,771
770,24.0,0.002050601,781
780,24.0,0.00207267,791
790,24.0,0.002092759,801
800,24.0,0.002112624,811
810,24.0,0.002132347,821
820,24.0,0.002152765,831
830,24.0,0.002176574,841
840,24.0,0.002197684,851
850,24.0,0.002240096,861
860,24.0,0.002261248,871
870,24.0,0.002281796,881
880,24.0,0.002302435,891
890,24.0,0.002320827,901
900,24.0,0.00235634,911
910,24.0,0.002377207,921
920,24.0,0.002397986,931
930,24.0,0.002423892,941
940,24.0,0.002454687,951
950,24.0,0.002479216,961
960,24.0,0.002506428,971
970,24.0,0.002568927,981
980,24.0,0.002597784,991
990,24.0,0.002631375,1001
1000,24.0,0.002655093,1011
1010,24.0,0.002682227,1021
1020,24.0,0.002702955,1031
1030,24.0,0.002719333,1041
1040,24.0,0.002741387,1051
1050,24.0,0.002758079,1061
1060,25.0,0.00277856,1071
1070,25.0,0.002793777,1081
1080,25.0,0.002811071,1091
1090,25.0,0.002829774,1101
1100,25.0,0.002844263,1111
1110,25.0,0.002859082,1121
1120,25.0,0.002877338,1131
1130,25.0,0.002892002,1141
1140,25.0,0.00290916,1151
1150,25.0,0.002923035,1161
1160,25.0,0.002940813,1171
1170,25.0,0.002959405,1181
1180,25.0,0.002974119,1191
1190,25.0,0.002995066,1201
1200,25.0,0.003010069,1211
1210,25.0,0.003025306,1221
1220,25.0,0.003040499,1231
1230,25.0,0.003058881,1241
1240,25.0,0.003073705,1251
1250,25.0,0.003091601,1261
1260,25.0,0.003106213,1271
1270,25.0,0.003123324,1281
1280,25.0,0.003144758,1291
1290,25.0,0.003166277,1301
1300,25.0,0.003212916,1311
1310,25.0,0.003234638,1321
1320,25.0,0.003253088,1331
1330,25.0,0.003281694,1341
1340,25.0,0.003300425,1351
1350,25.0,0.003322486,1361
1360,25.0,0.003343479,1371
1370,25.0,0.003367596,1381
1380,25.0,0.003384266,1391
1390,25.0,0.003399643,1401
1400,25.0,0.003415424,1411
1410,25.0,0.003431263,1421
1420,25.0,0.003445954,1431
1430,25.0,0.003472133,1441
1440,25.0,0.003488585,1451
1450,25.0,0.00350491,1461
1460,25.0,0.003522445,1471
1470,25.0,0.00353735,1481
1480,25.0,0.003554831,1491
1490,25.0,0.00357361,1501
1500,25.0,0.003590744,1511
1510,25.0,0.003611633,1521
1520,25.0,0.003666371,1531
1530,25.0,0.003682465,1541
1540,25.0,0.003706793,1551
1550,25.0,0.003727967,1561
1560,25.0,0.00375154,1571
1570,25.0,0.003769223,1581
1580,25.0,0.003800283,1591
1590,25.0,0.00383002,1601
1600,25.0,0.00388853,1611
1610,25.0,0.003904652,1621
1620,25.0,0.003922584,1631
1630,25.0,0.003938205,1641
1640,25.0,0.003963265,1651
1650,31.0,0.003998659,1661
1660,31.0,0.004030092,1671
1670,31.0,0.004044741,1681
1680,32.0,0.004067242,1691
1690,32.0,0.004084246,1701
1700,33.0,0.004104992,1711
1710,33.0,0.004119494,1721
1720,33.0,0.004153283,1731
1730,33.0,0.004174779,1741
1740,33.0,0.004192534,1751
1750,34.0,0.004208823,1761
1760,34.0,0.004232882,1771
1770,34.0,0.004254168,1781
1780,34.0,0.004275481,1791
1790,34.0,0.004298181,1801
1800,34.0,0.004320029,1811
1810,34.0,0.004342142,1821
1820,34.0,0.004378275,1831
1830,34.0,0.004398745,1841
1840,34.0,0.004477185,1851
1850,34.0,0.004497586,1861
1860,34.0,0.004518767,1871
1870,34.0,0.004543507,1881
1880,34.0,0.004569151,1891
1890,34.0,0.004607844,1901
1900,34.0,0.004629102,1911
1910,34.0,0.0046533,1921
1920,34.0,0.004669069,1931
1930,34.0,0.00468954,1941
1940,34.0,0.004756946,1951
1950,34.0,0.004774018,1961
1960,34.0,0.004794222,1971
1970,34.0,0.004808988,1981
