iterations,fitness,time,fevals
0,537.0,0.004095746,744
10,547.0,0.007543059,1370
20,550.0,0.010866978,2004
30,552.0,0.013859006,2633
40,548.0,0.017947794,3257
50,558.0,0.021500005,3883
60,558.0,0.024925023,4501
70,546.0,0.027866071,5124
80,540.0,0.031421107,5750
90,556.0,0.035012126,6383
100,560.0,0.038151633,7018
110,558.0,0.041326705,7647
120,560.0,0.044807817,8273
130,562.0,0.047411272,8905
140,560.0,0.050118338,9535
150,556.0,0.053364797,10168
160,570.0,0.056008574,10796
170,550.0,0.058982167,11413
180,558.0,0.061822687,12038
190,556.0,0.064760289,12676
200,566.0,0.067677658,13297
210,562.0,0.070094682,13932
220,568.0,0.072299019,14562
230,566.0,0.074485058,15193
240,564.0,0.076774681,15811
250,560.0,0.079168204,16437
260,562.0,0.082353902,17068
270,556.0,0.085183962,17691
280,562.0,0.087838221,18317
290,558.0,0.090734667,18955
300,554.0,0.093714902,19581
310,558.0,0.096337102,20215
320,564.0,0.098841388,20852
330,562.0,0.101499708,21475
340,562.0,0.105495949,22103
350,560.0,0.108384684,22725
360,560.0,0.110839336,23357
370,562.0,0.113222464,23987
380,564.0,0.116311552,24631
390,562.0,0.118732671,25257
400,562.0,0.121109863,25879
410,562.0,0.123586869,26509
420,568.0,0.126575245,27120
430,566.0,0.131479829,27744
440,562.0,0.133720756,28380
450,566.0,0.135953002,29010
460,564.0,0.138085807,29626
470,566.0,0.140359039,30248
480,568.0,0.143003861,30879
490,564.0,0.14588495,31498
500,564.0,0.148904957,32127
510,564.0,0.151193852,32755
520,566.0,0.153800727,33379
530,568.0,0.156394505,34007
540,568.0,0.159356079,34644
550,572.0,0.162127791,35270
560,572.0,0.16497234,35911
570,572.0,0.168374184,36543
580,572.0,0.171271827,37169
590,568.0,0.173937073,37807
600,570.0,0.176191887,38437
610,570.0,0.178348468,39068
620,574.0,0.18050272,39698
630,576.0,0.182757711,40320
640,574.0,0.185670247,40968
650,576.0,0.188019252,41601
660,578.0,0.190207318,42238
670,578.0,0.192331248,42873
680,580.0,0.194440411,43505
690,572.0,0.197115168,44124
700,576.0,0.199427353,44754
710,580.0,0.201559008,45398
720,576.0,0.203645075,46038
730,572.0,0.205693688,46667
740,572.0,0.207814044,47306
750,570.0,0.209874387,47941
760,576.0,0.21197795,48581
770,576.0,0.214836796,49207
780,572.0,0.217092362,49841
790,576.0,0.219227908,50493
800,576.0,0.221297159,51126
810,572.0,0.223427894,51755
820,572.0,0.225479185,52391
830,576.0,0.228069743,53032
840,580.0,0.231186981,53656
850,578.0,0.233306238,54282
860,576.0,0.235388157,54900
870,578.0,0.237527635,55521
880,584.0,0.239695268,56146
890,584.0,0.241776387,56774
900,582.0,0.243829424,57410
910,582.0,0.245952403,58040
920,584.0,0.24940433,58670
930,584.0,0.252133553,59292
940,588.0,0.254650887,59935
950,590.0,0.258666875,60563
960,588.0,0.2608243,61186
970,588.0,0.262917805,61820
980,590.0,0.265036299,62461
990,592.0,0.267129152,63078
1000,590.0,0.269218373,63706
1010,590.0,0.271500512,64338
1020,586.0,0.273621276,64974
1030,592.0,0.275755992,65601
1040,584.0,0.277780537,66230
1050,586.0,0.280041281,66852
1060,585.0,0.283218065,67496
1070,584.0,0.285719623,68124
1080,588.0,0.288025068,68752
1090,590.0,0.290599135,69373
1100,591.0,0.292976152,70000
1110,589.0,0.295302868,70636
1120,593.0,0.298279443,71279
1130,595.0,0.300617919,71898
1140,597.0,0.303347692,72532
1150,598.0,0.305735996,73159
1160,598.0,0.308849279,73788
1170,604.0,0.316120236,74400
1180,598.0,0.320411442,75036
1190,608.0,0.325689429,75660
1200,606.0,0.329040062,76283
1210,594.0,0.332114687,76913
1220,596.0,0.335437152,77539
1230,598.0,0.338518471,78166
1240,602.0,0.341756976,78800
1250,596.0,0.344946695,79423
1260,596.0,0.3481218,80047
1270,596.0,0.351411044,80676
1280,596.0,0.356939919,81307
1290,594.0,0.362596403,81942
1300,594.0,0.368439464,82563
1310,592.0,0.372384859,83196
1320,590.0,0.376347449,83813
1330,590.0,0.380588698,84427
1340,590.0,0.384562283,85051
1350,590.0,0.388518722,85689
1360,592.0,0.393906394,86339
1370,592.0,0.399806515,86972
1380,590.0,0.40298093,87613
1390,594.0,0.406154145,88248
1400,590.0,0.415848116,88877
1410,590.0,0.418040656,89513
1420,596.0,0.421514989,90134
1430,596.0,0.433519249,90771
1440,598.0,0.439273391,91398
1450,596.0,0.44498473,92032
1460,594.0,0.450566964,92667
1470,592.0,0.45481654,93280
1480,592.0,0.461206072,93903
1490,592.0,0.465077001,94532
1500,596.0,0.468639632,95152
1510,594.0,0.471988899,95791
1520,589.0,0.475963924,96437
1530,590.0,0.479405733,97068
1540,588.0,0.483286434,97706
1550,588.0,0.486614091,98343
1560,588.0,0.489582764,98974
1570,592.0,0.493013482,99601
1580,594.0,0.496475484,100229
1590,598.0,0.500904163,100867
1600,598.0,0.503946111,101490
1610,596.0,0.50643485,102122
1620,594.0,0.509538624,102756
1630,598.0,0.512350803,103371
1640,598.0,0.515072991,103992
1650,598.0,0.518360736,104635
1660,598.0,0.523238741,105268
1670,598.0,0.527191543,105907
1680,598.0,0.530120173,106535
1690,598.0,0.534335503,107171
1700,600.0,0.539033765,107790
1710,598.0,0.542598288,108409
1720,598.0,0.545018413,109043
1730,598.0,0.548280657,109669
1740,594.0,0.550776631,110313
1750,594.0,0.554249098,110953
1760,594.0,0.557339645,111583
1770,598.0,0.560616154,112204
1780,598.0,0.564054661,112833
1790,598.0,0.567383081,113459
1800,601.0,0.571719159,114097
1810,598.0,0.5762457,114732
1820,598.0,0.583043718,115358
1830,600.0,0.58701828,115991
1840,599.0,0.590862722,116617
1850,599.0,0.59564376,117248
1860,593.0,0.598990949,117866
1870,599.0,0.602716653,118507
1880,595.0,0.608795469,119149
1890,597.0,0.612420504,119771
1900,595.0,0.616527027,120404
1910,595.0,0.620905741,121025
1920,593.0,0.624341934,121646
1930,591.0,0.628153704,122278
1940,591.0,0.631406015,122914
1950,591.0,0.634604298,123550
1960,593.0,0.638178124,124177
1970,595.0,0.656322358,124805
1980,591.0,0.659387116,125428
1990,589.0,0.662672222,126060
2000,587.0,0.667826749,126685
2010,591.0,0.67123377,127318
2020,593.0,0.674554169,127940
2030,591.0,0.683417161,128570
2040,593.0,0.686964554,129185
2050,589.0,0.690365822,129814
2060,589.0,0.69488773,130452
