iterations,fitness,time,fevals
0,568.0,11.799986009,1000
10,591.0,23.110071582,2100
20,657.0,33.461916096,3200
30,695.0,42.990628905,4300
40,719.0,51.874713986,5400
50,727.0,59.866999101,6500
60,727.0,67.550476304,7600
70,733.0,75.06030907,8700
80,733.0,83.015014183,9800
90,733.0,90.664810911,10900
100,733.0,98.28822828,12000
110,731.0,106.026952792,13100
120,733.0,113.894349944,14200
130,733.0,121.469105483,15300
140,733.0,129.326758594,16400
150,733.0,137.120359164,17500
160,735.0,144.948841203,18600
170,733.0,152.674835263,19700
180,735.0,160.433494554,20800
190,733.0,167.900978376,21900
200,733.0,175.685485781,23000
210,733.0,183.381487522,24100
220,733.0,190.945339394,25200
230,733.0,198.855221268,26300
240,733.0,206.573811549,27400
250,737.0,214.325490273,28500
260,735.0,222.281763467,29600
270,733.0,230.099949541,30700
280,733.0,237.945453106,31800
290,735.0,245.63047262,32900
300,733.0,253.476901272,34000
310,733.0,261.35236654,35100
320,735.0,269.112321776,36200
330,731.0,276.610398916,37300
340,733.0,284.353648676,38400
350,733.0,292.027777735,39500
360,733.0,299.69659817,40600
370,735.0,307.611490063,41700
380,731.0,315.557004072,42800
390,733.0,323.473407763,43900
400,735.0,331.245476543,45000
410,733.0,338.988502897,46100
420,733.0,346.853521431,47200
430,733.0,354.583728014,48300
440,733.0,362.475616167,49400
450,731.0,369.9847942,50500
460,733.0,377.960219708,51600
470,732.0,385.736531197,52700
480,733.0,393.623385731,53800
490,731.0,401.267469029,54900
500,731.0,409.119536293,56000
510,735.0,416.835730833,57100
520,735.0,424.673398329,58200
530,735.0,432.368201851,59300
540,733.0,440.282553229,60400
550,733.0,447.848132509,61500
560,731.0,455.511363593,62600
570,731.0,463.186464599,63700
580,733.0,470.860479099,64800
590,733.0,478.625542556,65900
600,733.0,486.406371035,67000
610,733.0,494.231738838,68100
620,735.0,501.856392993,69200
630,731.0,509.786703222,70300
640,733.0,517.623000533,71400
650,731.0,525.172064177,72500
660,733.0,533.08356299,73600
670,733.0,540.871409717,74700
680,733.0,548.567001668,75800
690,733.0,556.424212914,76900
700,733.0,564.256692212,78000
710,733.0,571.980307363,79100
720,735.0,579.528409633,80200
730,733.0,587.241982597,81300
740,731.0,594.943180619,82400
750,735.0,602.595335029,83500
760,733.0,610.462583365,84600
770,733.0,618.166275084,85700
780,733.0,626.079382623,86800
790,733.0,633.569824408,87900
800,731.0,641.461685331,89000
810,733.0,649.324610387,90100
820,733.0,657.133130263,91200
830,733.0,664.845007377,92300
840,735.0,672.501935509,93400
850,733.0,680.310622086,94500
860,733.0,687.969566431,95600
870,733.0,695.705616559,96700
880,733.0,703.630992071,97800
890,733.0,711.511202635,98900
900,733.0,719.323808829,100000
910,733.0,726.949517693,101100
920,733.0,734.808008962,102200
930,733.0,742.691237428,103300
940,731.0,750.406935803,104400
950,733.0,758.110254092,105500
960,733.0,765.92883585,106600
970,733.0,773.668262527,107700
980,733.0,781.194387969,108800
990,731.0,788.950243476,109900
1000,733.0,796.593089852,111000
1010,735.0,804.489203817,112100
1020,737.0,812.32364578,113200
1030,733.0,820.102919757,114300
1040,733.0,827.718692644,115400
1050,735.0,835.644620197,116500
1060,735.0,843.588105787,117600
1070,735.0,851.056767165,118700
1080,735.0,858.966867963,119800
1090,733.0,866.683118445,120900
1100,735.0,874.532317175,122000
1110,735.0,882.336716793,123100
1120,737.0,889.971783799,124200
1130,735.0,897.712856372,125300
1140,735.0,905.361481678,126400
1150,733.0,913.042736311,127500
1160,737.0,920.7979735,128600
1170,733.0,928.453661377,129700
1180,735.0,936.149138978,130800
1190,735.0,943.906696234,131900
1200,737.0,951.771222867,133000
1210,735.0,959.300107947,134100
1220,733.0,966.814080432,135200
1230,733.0,974.695504087,136300
1240,733.0,982.584421201,137400
1250,735.0,990.208350228,138500
1260,735.0,998.140462657,139600
1270,735.0,1005.85031082,140700
1280,735.0,1013.60956259,141800
1290,735.0,1021.27750813,142900
1300,737.0,1029.05324754,144000
1310,735.0,1036.80049078,145100
1320,735.0,1044.44907148,146200
1330,735.0,1052.44553071,147300
1340,735.0,1060.39903705,148400
1350,737.0,1067.96188835,149500
1360,735.0,1075.74602268,150600
1370,735.0,1083.58454177,151700
1380,735.0,1091.36043386,152800
1390,735.0,1099.25076433,153900
1400,737.0,1106.84916244,155000
1410,735.0,1114.58782389,156100
1420,733.0,1122.3579705,157200
1430,733.0,1130.2904816,158300
1440,737.0,1137.87042539,159400
1450,735.0,1145.67394358,160500
1460,739.0,1153.33617761,161600
1470,737.0,1161.10639437,162700
1480,733.0,1168.78540392,163800
1490,735.0,1176.33233327,164900
1500,735.0,1184.09425495,166000
1510,735.0,1191.90126819,167100
1520,735.0,1199.25763707,168200
1530,735.0,1206.50418873,169300
1540,735.0,1214.06233049,170400
1550,735.0,1221.94977002,171500
1560,735.0,1229.67110241,172600
1570,735.0,1237.49065807,173700
1580,735.0,1245.23566658,174800
1590,735.0,1252.97670114,175900
1600,735.0,1260.87118718,177000
1610,735.0,1268.49028662,178100
1620,735.0,1276.40499096,179200
1630,735.0,1284.02354605,180300
1640,737.0,1292.01088414,181400
1650,735.0,1299.52791958,182500
1660,735.0,1307.25416935,183600
1670,735.0,1315.08522162,184700
1680,735.0,1322.92952994,185800
1690,737.0,1330.60005974,186900
1700,737.0,1338.3408568,188000
1710,733.0,1346.09009135,189100
1720,737.0,1354.00917315,190200
1730,735.0,1361.70856646,191300
1740,737.0,1369.46454408,192400
1750,735.0,1377.10983461,193500
1760,735.0,1384.84569962,194600
1770,735.0,1392.60655038,195700
1780,735.0,1400.41530725,196800
1790,735.0,1407.44841482,197900
1800,735.0,1414.65425473,199000
1810,735.0,1422.51520966,200100
1820,735.0,1430.40595135,201200
