iterations,fitness,time,fevals
0,484.0,0.000139288,11
10,486.0,0.000248149,21
20,490.0,0.000342593,31
30,494.0,0.000493078,41
40,496.0,0.000601876,51
50,496.0,0.000715727,61
60,498.0,0.000841478,71
70,500.0,0.000942622,81
80,508.0,0.001029538,91
90,508.0,0.001133108,101
100,508.0,0.001235163,111
110,512.0,0.001344742,121
120,514.0,0.001443038,131
130,518.0,0.001539124,141
140,518.0,0.001630498,151
150,518.0,0.001701638,161
160,518.0,0.001796918,171
170,520.0,0.001905951,181
180,523.0,0.001985377,191
190,527.0,0.002093256,201
200,529.0,0.002198177,211
210,533.0,0.002299075,221
220,533.0,0.002379116,231
230,533.0,0.002477148,241
240,533.0,0.002593693,251
250,533.0,0.002697864,261
260,537.0,0.002831464,271
270,541.0,0.002924443,281
280,541.0,0.003031735,291
290,541.0,0.003108659,301
300,545.0,0.003386479,311
310,545.0,0.003469262,321
320,547.0,0.003971794,331
330,549.0,0.004095969,341
340,549.0,0.004193385,351
350,551.0,0.004290674,361
360,553.0,0.004388252,371
370,557.0,0.004482053,381
380,559.0,0.004604717,391
390,563.0,0.004688721,401
400,565.0,0.004765883,411
410,569.0,0.004849903,421
420,575.0,0.004925044,431
430,577.0,0.00504805,441
440,581.0,0.005240256,451
450,585.0,0.005342745,461
460,585.0,0.005424064,471
470,587.0,0.005503316,481
480,589.0,0.005591726,491
490,589.0,0.005672842,501
500,589.0,0.005846727,511
510,589.0,0.005956393,521
520,591.0,0.006069535,531
530,591.0,0.006149225,541
540,591.0,0.006259043,551
550,595.0,0.006355262,561
560,599.0,0.006460095,571
570,599.0,0.00655965,581
580,601.0,0.00667734,591
590,601.0,0.006790107,601
600,603.0,0.006891524,611
610,607.0,0.006967801,621
620,607.0,0.007071796,631
630,611.0,0.007151212,641
640,611.0,0.007261923,651
650,611.0,0.007471593,661
660,611.0,0.007580058,671
670,613.0,0.007688895,681
680,613.0,0.007797079,691
690,615.0,0.007926148,701
700,615.0,0.008175195,711
710,619.0,0.008286699,721
720,619.0,0.00838647,731
730,623.0,0.00858396,741
740,625.0,0.008932504,751
750,627.0,0.009138244,761
760,627.0,0.009334379,771
770,629.0,0.010478427,781
780,629.0,0.010704983,791
790,629.0,0.010844103,801
800,629.0,0.010954194,811
810,629.0,0.011057271,821
820,629.0,0.011162345,831
830,631.0,0.011265478,841
840,631.0,0.011500954,851
850,635.0,0.011622191,861
860,635.0,0.011747607,871
870,637.0,0.011858415,881
880,641.0,0.01196648,891
890,643.0,0.012077577,901
900,647.0,0.012209644,911
910,647.0,0.012328194,921
920,649.0,0.012439266,931
930,651.0,0.012534628,941
940,651.0,0.012625997,951
950,655.0,0.012747979,961
960,657.0,0.01287318,971
970,659.0,0.012984971,981
980,661.0,0.013120605,991
990,661.0,0.013236732,1001
1000,661.0,0.013340756,1011
1010,665.0,0.013469379,1021
1020,667.0,0.013559824,1031
1030,669.0,0.013666645,1041
1040,669.0,0.013766484,1051
1050,669.0,0.013988941,1061
1060,669.0,0.014340577,1071
1070,669.0,0.014426243,1081
1080,669.0,0.014514827,1091
1090,669.0,0.014607692,1101
1100,671.0,0.014777851,1111
1110,671.0,0.014889,1121
1120,675.0,0.015118273,1131
1130,677.0,0.015204129,1141
1140,681.0,0.015288869,1151
1150,681.0,0.015374119,1161
1160,681.0,0.015483808,1171
1170,681.0,0.015581445,1181
1180,683.0,0.015700653,1191
1190,683.0,0.015810959,1201
1200,683.0,0.015917432,1211
1210,685.0,0.01601835,1221
1220,685.0,0.016136218,1231
1230,687.0,0.01623607,1241
1240,693.0,0.016337396,1251
1250,693.0,0.016421853,1261
1260,695.0,0.01651219,1271
1270,695.0,0.016596239,1281
1280,697.0,0.016697129,1291
1290,697.0,0.016778747,1301
1300,699.0,0.016873885,1311
1310,701.0,0.016954369,1321
1320,701.0,0.01704602,1331
1330,701.0,0.017137426,1341
1340,701.0,0.01722923,1351
1350,701.0,0.017326921,1361
1360,703.0,0.017418218,1371
1370,705.0,0.017539003,1381
1380,707.0,0.017649123,1391
1390,707.0,0.017750276,1401
1400,709.0,0.017861046,1411
1410,709.0,0.017935789,1421
1420,709.0,0.018018234,1431
1430,711.0,0.018112563,1441
1440,711.0,0.018186448,1451
1450,711.0,0.018275775,1461
1460,713.0,0.018369941,1471
1470,713.0,0.019191762,1481
1480,713.0,0.019320884,1491
1490,713.0,0.019421062,1501
1500,713.0,0.019969448,1511
1510,713.0,0.020081196,1521
1520,713.0,0.020169693,1531
1530,713.0,0.020272902,1541
1540,715.0,0.020489732,1551
1550,717.0,0.02058253,1561
1560,717.0,0.020660453,1571
1570,717.0,0.020780307,1581
1580,721.0,0.020877805,1591
1590,723.0,0.020993089,1601
1600,725.0,0.021088125,1611
1610,725.0,0.021187961,1621
1620,725.0,0.021281299,1631
1630,729.0,0.021370352,1641
1640,729.0,0.021491311,1651
1650,729.0,0.021570628,1661
1660,729.0,0.021674582,1671
1670,731.0,0.021764167,1681
1680,733.0,0.021849574,1691
1690,733.0,0.021978806,1701
1700,733.0,0.022066142,1711
1710,735.0,0.022212549,1721
1720,735.0,0.022303336,1731
1730,737.0,0.022426039,1741
1740,737.0,0.022546505,1751
1750,737.0,0.022659278,1761
1760,737.0,0.022744917,1771
1770,737.0,0.022901551,1781
1780,737.0,0.023004004,1791
1790,737.0,0.023116934,1801
1800,739.0,0.02324032,1811
1810,739.0,0.023323822,1821
1820,739.0,0.023404609,1831
1830,741.0,0.023486212,1841
1840,743.0,0.02356329,1851
1850,743.0,0.023669878,1861
1860,747.0,0.023756455,1871
1870,751.0,0.023832045,1881
1880,751.0,0.023924843,1891
1890,753.0,0.024008932,1901
1900,753.0,0.02412916,1911
1910,753.0,0.024217295,1921
1920,753.0,0.024350407,1931
1930,753.0,0.024427308,1941
1940,753.0,0.024504636,1951
1950,753.0,0.024602688,1961
1960,753.0,0.024697999,1971
1970,753.0,0.024803542,1981
1980,753.0,0.024880349,1991
1990,753.0,0.024957155,2001
2000,753.0,0.02505892,2011
2010,753.0,0.025146193,2021
2020,753.0,0.025226084,2031
2030,753.0,0.025318657,2041
2040,753.0,0.025410605,2051
2050,753.0,0.025529355,2061
2060,753.0,0.025646845,2071
2070,753.0,0.025725268,2081
2080,753.0,0.025797003,2091
2090,753.0,0.025898682,2101
2100,753.0,0.025990375,2111
2110,753.0,0.026276434,2121
2120,755.0,0.026364913,2131
2130,755.0,0.026442312,2141
2140,755.0,0.026518145,2151
2150,755.0,0.02661461,2161
2160,755.0,0.026696735,2171
2170,755.0,0.026772777,2181
2180,755.0,0.026863345,2191
2190,755.0,0.026935796,2201
2200,757.0,0.027014892,2211
2210,757.0,0.027131787,2221
2220,757.0,0.027270549,2231
2230,757.0,0.027349849,2241
2240,759.0,0.027445555,2251
2250,761.0,0.027536784,2261
2260,761.0,0.027635878,2271
2270,763.0,0.027725509,2281
2280,763.0,0.027799041,2291
2290,763.0,0.027871223,2301
2300,763.0,0.027978852,2311
2310,763.0,0.02806681,2321
2320,763.0,0.028152476,2331
2330,763.0,0.028228042,2341
2340,765.0,0.028320826,2351
2350,765.0,0.028438148,2361
2360,765.0,0.028538163,2371
2370,765.0,0.028653642,2381
2380,767.0,0.02875146,2391
2390,767.0,0.028861138,2401
2400,767.0,0.028958173,2411
2410,767.0,0.029060575,2421
2420,769.0,0.045920466,2431
2430,769.0,0.045966951,2441
2440,769.0,0.046005941,2451
2450,769.0,0.046044718,2461
2460,769.0,0.046086332,2471
2470,769.0,0.046122034,2481
2480,769.0,0.046170385,2491
2490,769.0,0.046207887,2501
2500,769.0,0.046243809,2511
2510,773.0,0.046282181,2521
2520,773.0,0.046319661,2531
2530,773.0,0.046363996,2541
2540,773.0,0.046404566,2551
2550,773.0,0.046440225,2561
2560,773.0,0.046477367,2571
2570,773.0,0.046510281,2581
2580,773.0,0.046550735,2591
2590,773.0,0.046587204,2601
2600,773.0,0.046626765,2611
2610,773.0,0.04666529,2621
2620,773.0,0.046704056,2631
2630,773.0,0.046742069,2641
2640,775.0,0.046778199,2651
2650,775.0,0.04681362,2661
2660,775.0,0.046850772,2671
2670,775.0,0.046883447,2681
2680,775.0,0.046916371,2691
2690,775.0,0.046958284,2701
2700,775.0,0.04699157,2711
2710,775.0,0.047022869,2721
2720,775.0,0.047058827,2731
2730,775.0,0.047098026,2741
2740,775.0,0.047143901,2751
2750,775.0,0.047192937,2761
2760,775.0,0.047238825,2771
2770,775.0,0.047277084,2781
2780,775.0,0.047313922,2791
2790,775.0,0.047363048,2801
2800,775.0,0.047397502,2811
2810,775.0,0.04743037,2821
2820,777.0,0.047466121,2831
2830,777.0,0.047508475,2841
2840,777.0,0.047548782,2851
2850,779.0,0.047597594,2861
2860,781.0,0.047639086,2871
2870,781.0,0.047675683,2881
2880,781.0,0.047735783,2891
2890,781.0,0.04777785,2901
2900,783.0,0.047822133,2911
2910,783.0,0.047856507,2921
2920,783.0,0.047884948,2931
2930,783.0,0.047918209,2941
2940,783.0,0.047952345,2951
2950,783.0,0.047984902,2961
2960,783.0,0.048014572,2971
2970,783.0,0.048048543,2981
2980,783.0,0.048077989,2991
2990,785.0,0.048119913,3001
3000,785.0,0.048154549,3011
