iterations,fitness,time,fevals
0,491.0,4.19599999999e-05,11
10,497.0,7.91839999998e-05,21
20,501.0,0.000117162,31
30,499.0,0.000149601,41
40,501.0,0.000182191,51
50,503.0,0.000217076,61
60,507.0,0.000246843,71
70,507.0,0.000285038,81
80,509.0,0.000341037,91
90,509.0,0.00038344,101
100,511.0,0.00041506,111
110,513.0,0.000445496,121
120,515.0,0.000473983,131
130,521.0,0.000516221999999,141
140,525.0,0.000559170999999,151
150,525.0,0.000588491999999,161
160,531.0,0.000620102999999,171
170,531.0,0.000650306,181
180,535.0,0.00071902,191
190,537.0,0.000749951,201
200,537.0,0.000779847,211
210,541.0,0.000808278999999,221
220,541.0,0.000838944999999,231
230,541.0,0.000895911999999,241
240,541.0,0.00093575,251
250,541.0,0.001025838,261
260,541.0,0.001070804,271
270,547.0,0.001113563,281
280,551.0,0.001166754,291
290,553.0,0.001207684,301
300,555.0,0.001247295,311
310,557.0,0.001291282,321
320,563.0,0.00134009,331
330,563.0,0.001378926,341
340,565.0,0.001429299,351
350,569.0,0.001475395,361
360,573.0,0.001511778,371
370,577.0,0.001545086,381
380,579.0,0.001579664,391
390,585.0,0.001629941,401
400,589.0,0.001662023,411
410,593.0,0.001693861,421
420,593.0,0.001725434,431
430,593.0,0.001756967,441
440,593.0,0.001804783,451
450,595.0,0.001839419,461
460,595.0,0.001865368,471
470,595.0,0.001909361,481
480,595.0,0.001939018,491
490,597.0,0.001974111,501
500,597.0,0.002020882,511
510,597.0,0.002046672,521
520,599.0,0.002077107,531
530,599.0,0.002104978,541
540,599.0,0.002135798,551
550,601.0,0.002170128,561
560,603.0,0.002202675,571
570,605.0,0.002228684,581
580,605.0,0.002255136,591
590,609.0,0.002302588,601
600,613.0,0.00235019,611
610,613.0,0.002394631,621
620,613.0,0.00242525,631
630,613.0,0.002463024,641
640,613.0,0.00250028,651
650,617.0,0.002542799,661
660,617.0,0.002579988,671
670,621.0,0.00261409,681
680,623.0,0.002657884,691
690,625.0,0.002696224,701
700,625.0,0.002724214,711
710,629.0,0.002764205,721
720,629.0,0.002796876,731
730,631.0,0.002828319,741
740,631.0,0.002868893,751
750,635.0,0.002905645,761
760,635.0,0.002940927,771
770,637.0,0.00296529,781
780,641.0,0.002990944,791
790,641.0,0.003015688,801
800,641.0,0.003042638,811
810,643.0,0.003076655,821
820,643.0,0.003103251,831
830,643.0,0.003127352,841
840,645.0,0.003153063,851
850,645.0,0.003181032,861
860,647.0,0.003209836,871
870,647.0,0.003231511,881
880,647.0,0.003270125,891
890,647.0,0.003305225,901
900,649.0,0.003338828,911
910,649.0,0.003372253,921
920,655.0,0.003420098,931
930,657.0,0.003453065,941
940,657.0,0.003490654,951
950,657.0,0.003527854,961
960,661.0,0.003558636,971
970,663.0,0.003589434,981
980,665.0,0.003620084,991
990,667.0,0.003650287,1001
1000,667.0,0.003680129,1011
1010,667.0,0.003716752,1021
1020,669.0,0.003798426,1031
1030,669.0,0.003822213,1041
1040,673.0,0.003860774,1051
1050,679.0,0.003890542,1061
1060,679.0,0.003912388,1071
1070,679.0,0.003943324,1081
1080,679.0,0.003971785,1091
1090,683.0,0.004005364,1101
1100,685.0,0.004032442,1111
1110,685.0,0.004067895,1121
1120,685.0,0.00409919,1131
1130,689.0,0.004137354,1141
1140,689.0,0.004164098,1151
1150,689.0,0.004197973,1161
1160,689.0,0.004230509,1171
